id,match_id,competition_name,season_name,x,y,shot_distance,shot_angle,body_part,side_of_field,is_goal,outcome_name,shot_statsbomb_xg,distance_category,angle_category
ae0078d6-3699-43d6-8b2b-e5d82466b3b9,3749522,Premier League,2003/2004,100.5,25.3,22.242751628339512,15.045896807352884,Right Foot,left,0,Saved,0.032242496,Close,Great
036ff28e-e895-4c56-b38a-5176eb0f6e33,3749522,Premier League,2003/2004,81.4,40.5,38.599999999999994,11.83058878710137,Right Foot,right,0,Post,0.006921836,Very Far,Good
e88291e0-cd10-41ec-9d3a-699e73a756a0,3749522,Premier League,2003/2004,100.6,32.5,19.713193551527876,20.43190516158066,Right Foot,left,0,Saved,0.26727,Very Close,Great
357a5314-8dbd-4dde-b93b-831281efb3ad,3749522,Premier League,2003/2004,87.0,35.8,33.00060605504087,13.607266276051076,Right Foot,left,0,Saved,0.020648506,Far,Good
405e32fe-fcab-4728-900a-828b3a0badc0,3749522,Premier League,2003/2004,111.1,28.9,11.385077953180652,20.90352029056175,Right Foot,left,0,Saved,0.081988454,Very Close,Great
6d406839-646e-4596-b75b-b17d9691d0bf,3749522,Premier League,2003/2004,95.5,41.2,24.5,18.502715563980306,Right Foot,right,0,Blocked,0.023858244,Close,Great
641fba58-97dc-4408-b827-e151b7474612,3749522,Premier League,2003/2004,110.5,48.8,10.643777524920369,26.611868847213376,Right Foot,right,0,Off T,0.19786966,Very Close,Great
d86a64b4-a253-4886-b21b-63bf4c41cfe2,3749522,Premier League,2003/2004,100.7,27.7,21.009045670853304,16.912874502769725,Right Foot,left,0,Blocked,0.03428903,Close,Great
1571f29e-91c6-41ea-b773-511ce14fc8d0,3749522,Premier League,2003/2004,99.6,56.6,23.977489443225707,13.578059721039017,Left Foot,right,0,Blocked,0.02152702,Close,Good
233f37a1-752a-4fa5-82c2-dac05567453a,3749522,Premier League,2003/2004,101.6,39.0,18.400000000000006,24.462630240347615,Right Foot,left,0,Off T,0.04436357,Very Close,Great
245d6b6e-36cb-4844-b158-701dc401d63c,3749522,Premier League,2003/2004,105.8,39.0,14.200000000000003,31.32713462579655,Right Foot,left,0,Off T,0.08144611,Very Close,
1ed24250-1b32-4800-a1f3-222e1df68911,3749522,Premier League,2003/2004,110.5,45.4,9.60260381354974,36.313602075356535,Left Foot,right,0,Off T,0.072387226,Very Close,
c2779de3-18ea-4887-a304-40f0fd7adff0,3749522,Premier League,2003/2004,98.8,30.5,21.901826407859232,17.944842513973374,Left Foot,left,0,Off T,0.07628197,Close,Great
5963cbcd-7edf-4a2b-a957-453863f1784d,3749522,Premier League,2003/2004,108.1,52.6,14.682302271782861,18.509263940637954,Right Foot,right,0,Saved,0.073340915,Very Close,Great
bc2de9e7-2136-485c-a875-b9bba8723020,3749522,Premier League,2003/2004,116.3,27.3,9.454099639838793,10.546960402542446,Left Foot,left,0,Blocked,0.027866354,Very Close,Good
5fdf27ea-bbfb-46fb-a29f-bf2fa5b757cd,3749522,Premier League,2003/2004,92.5,41.9,27.5,16.475823945785496,Left Foot,right,0,Blocked,0.032320082,Medium,Great
34c37f82-f3e6-4360-b8c2-2ffd94d2e9ec,3749522,Premier League,2003/2004,108.7,26.9,14.508618128546908,17.697694043710865,Left Foot,left,1,Goal,0.10623155,Very Close,Great
18859cc4-d821-4465-81d9-b36898c0e11e,3749522,Premier League,2003/2004,83.9,43.8,36.099999999999994,12.509697386368625,Left Foot,right,0,Off T,0.011188577,Very Far,Good
e4cc2e35-0c9c-4150-bdb5-47f6f8c26c02,3749246,Premier League,2003/2004,104.8,34.7,15.255490814785347,26.571649249904272,Left Foot,left,0,Off T,0.09853305,Very Close,Great
4ff1d175-3054-44d1-be4d-44d528235432,3749246,Premier League,2003/2004,103.1,12.0,29.353194034039976,7.312275594313212,Right Foot,left,0,Off T,0.0065844017,Medium,Fair
44e92131-03b1-4686-b68a-f04975717720,3749246,Premier League,2003/2004,95.3,20.5,29.160589843142752,11.464324294156896,Right Foot,left,0,Blocked,0.009507768,Medium,Good
7eee3b7c-b3af-4813-80bd-cb12b3992784,3749246,Premier League,2003/2004,95.2,26.8,26.4514649877847,14.389951010234778,Right Foot,left,0,Blocked,0.020916568,Medium,Good
6a915ff1-1e1b-4078-86da-57cf08116d47,3749246,Premier League,2003/2004,103.1,42.7,16.900000000000006,26.02454098994731,Right Foot,right,0,Blocked,0.2139597,Very Close,Great
943226e8-8104-4c1c-9247-398cee3a39a3,3749246,Premier League,2003/2004,114.1,52.5,10.346980235798272,15.089378638523996,Right Foot,right,0,Saved,0.10458375,Very Close,Great
ddb02a44-54a6-47cd-bbc3-807d573e611a,3749246,Premier League,2003/2004,95.9,40.2,24.099999999999994,18.8462898429173,Left Foot,right,0,Saved,0.03400667,Close,Great
1ddd7e83-f67b-47a6-9ab6-dc897ef7bb87,3749246,Premier League,2003/2004,107.4,29.9,13.998928530426886,22.38260739223404,Left Foot,left,0,Saved,0.22808835,Very Close,Great
3a264d00-46d4-4ebb-ab51-28b8b0f20a24,3749246,Premier League,2003/2004,100.2,27.2,21.667487163951428,16.351611185919122,Right Foot,left,0,Blocked,0.03352115,Close,Great
2664a2ec-8c4a-482b-bb6c-7b6e52bc8234,3749246,Premier League,2003/2004,112.1,39.7,7.900000000000006,53.65587094101194,Head,left,0,Off T,0.07371769,Very Close,
fec4c7e0-11c8-4537-9f6f-e04a5d567070,3749246,Premier League,2003/2004,98.0,26.9,23.807771840304586,15.385182764796898,Right Foot,left,0,Saved,0.049843814,Close,Great
ad01ad2a-9cfd-476c-897a-d1383eb981f1,3749246,Premier League,2003/2004,102.6,35.8,17.40114938732497,24.574288145644733,Head,left,0,Saved,0.03361964,Very Close,Great
d48a79c8-53b3-4a29-8750-243204fe668a,3749246,Premier League,2003/2004,87.3,55.0,34.50057970527452,11.565792011243763,Left Foot,right,0,Off T,0.0062025646,Far,Good
5014d5bf-1940-40a8-b32e-e82ea0c4d46d,3749246,Premier League,2003/2004,96.1,21.9,27.749234223668232,12.220307973818098,Right Foot,left,0,Blocked,0.010286427,Medium,Good
77e2e91f-bb79-46d3-a03b-ba3f03593295,3749246,Premier League,2003/2004,95.5,35.2,24.513057744802055,17.887241626180227,Right Foot,left,0,Blocked,0.0320205,Close,Great
92e5b172-dec6-4852-a62c-431161fce001,3749246,Premier League,2003/2004,94.1,46.1,25.984995670578826,16.66840002672855,Right Foot,right,0,Blocked,0.028464746,Medium,Great
5f1b68db-ec7b-4208-bb26-eae1df419349,3749246,Premier League,2003/2004,96.3,21.3,27.888707392061043,11.955979006802727,Right Foot,left,0,Wayward,0.009622176,Medium,Good
c3178faa-62bd-4a47-be38-61f489f61146,3749246,Premier League,2003/2004,107.6,49.0,13.37011593068662,24.392627933683215,Left Foot,right,0,Off T,0.13866271,Very Close,Great
4c14e2ff-ecc6-4ba1-9981-a71be09979fe,3749246,Premier League,2003/2004,88.4,47.4,31.78238505839358,13.69627958767065,Right Foot,right,1,Goal,0.024729788,Far,Good
de978686-92af-4dc3-a3e0-a76554261e40,3749246,Premier League,2003/2004,112.6,39.7,7.400000000000006,56.72511201516504,Head,left,0,Off T,0.08900271,Very Close,
2ff5cc9b-4b5f-481b-b863-2741c942d154,3749246,Premier League,2003/2004,111.4,49.5,10.208329931972218,24.901020481830106,Right Foot,right,0,Saved,0.12911086,Very Close,Great
79088f74-2c5c-421b-b00e-c30a315a398b,3749246,Premier League,2003/2004,94.7,55.5,27.79100573926751,13.179319212638175,Left Foot,right,0,Wayward,0.013012606,Medium,Good
53abd301-012f-47f0-9765-778f4f71cbdd,3749246,Premier League,2003/2004,89.9,29.2,30.85854824841894,13.452886951929706,Right Foot,left,0,Blocked,0.020104885,Far,Good
31056e44-fa6c-4b78-8e6b-052648884823,3749246,Premier League,2003/2004,100.5,45.1,19.531000998412754,21.788245608464386,Left Foot,right,0,Saved,0.16782027,Very Close,Great
71be6a32-5355-4511-bd5f-c8bb012b8b79,3749246,Premier League,2003/2004,115.5,44.4,4.517742799230607,56.74180203002627,Head,right,0,Off T,0.21053152,Very Close,
