x,y,shot_statsbomb_xg,body_part_name,outcome_name,distance,angle
108.6,28.0,0.2009693,Right Foot,Off T,114.96401002052772,0.05096116184578196
103.6,51.0,0.096383646,Right Foot,Saved,94.07084351700053,0.057099942036614115
104.3,33.9,0.09887917,Left Foot,Off T,107.66401255758583,0.05438096267715984
97.9,44.3,0.07893826,Left Foot,Blocked,95.51119096734163,0.06075776528159474
118.3,42.1,0.9761923,Left Foot,Goal,110.69173230192037,0.046556392005769734
113.1,39.3,0.20307332,Head,Off T,109.11426854449422,0.04963107155744795
101.3,41.6,0.09501523,Left Foot,Blocked,99.72988318453001,0.057713748247365346
84.7,42.1,0.017764185,Right Foot,Off T,89.98339624619645,0.0704245474062852
105.3,32.9,0.11245217,Left Foot,Saved,109.06429113142394,0.05360892797323039
113.3,26.1,0.054102834,Left Foot,Saved,119.33172084571646,0.048276528822698096
107.4,27.2,0.030959154,Left Foot,Saved,114.89363602915525,0.05146646834724646
111.5,31.6,0.08542095,Left Foot,Off T,113.91025239195987,0.04987994102217357
99.0,24.7,0.044592485,Left Foot,Off T,112.26453402566636,0.0553524459039639
107.6,31.3,0.29141483,Left Foot,Goal,111.72973462780621,0.05202013313416732
108.4,49.5,0.07794037,Left Foot,Saved,98.46541321702763,0.05325035221100125
98.2,34.7,0.048743222,Right Foot,Off T,103.45540875179026,0.0583451042617802
106.6,35.3,0.03818405,Head,Saved,107.95857353633383,0.05320709749519319
103.2,35.7,0.051461197,Right Foot,Blocked,105.5643007839298,0.055383770321238646
103.4,24.7,0.034160636,Right Foot,Saved,114.65111251095648,0.053074046554990824
96.4,46.8,0.03886047,Left Foot,Blocked,92.61569845333997,0.06248359616689087
97.5,49.6,0.037237283,Left Foot,Blocked,91.11325699369989,0.06209594733032702
92.9,28.0,0.021675078,Right Foot,Blocked,106.29439119727815,0.059604451941190184
106.4,49.8,0.064202756,Right Foot,Saved,96.86210610966499,0.054793112751917
88.7,39.7,0.020938296,Right Foot,Saved,94.09044372304767,0.06639790227222554
114.5,46.0,0.104497105,Head,Blocked,105.2474493752699,0.04892135920411813
108.9,44.1,0.15296176,Right Foot,Off T,102.73746930891379,0.05265565639938782
94.0,49.1,0.02749131,Left Foot,Blocked,89.32886207715848,0.06505641065648879
99.0,46.8,0.051498987,Left Foot,Blocked,94.23096943149848,0.06036186121526254
104.9,49.8,0.063643776,Left Foot,Off T,95.83474109110955,0.055973475161344495
101.1,50.9,0.04283516,Right Foot,Saved,92.46449913345121,0.059185125840302895
106.6,34.6,0.09201574,Right Foot,Blocked,108.508633757872,0.05310387957348604
110.4,37.9,0.4184496,Left Foot,Goal,108.37231011656068,0.05118394237853597
103.1,57.1,0.014482854,Right Foot,Off T,89.33668675297959,0.05772299807573061
92.6,47.5,0.025733665,Left Foot,Blocked,89.77134063831285,0.0658669383383464
109.5,55.4,0.058749907,Right Foot,Off T,95.13561688452963,0.05227628598148326
103.1,31.4,0.069709174,Right Foot,Blocked,108.97060888147776,0.054624064334532305
99.2,56.5,0.024455013,Left Foot,Saved,87.04746751054853,0.06137552115707734
103.9,37.9,0.056093782,Left Foot,Goal,104.24580375247726,0.05531329415739034
100.5,45.8,0.06687891,Right Foot,Off T,95.95387225120203,0.059008941012027825
100.8,43.8,0.093079254,Left Foot,Goal,97.69615959698723,0.05845557953584493
104.0,35.9,0.09590488,Right Foot,Saved,105.88883604988771,0.054914753874508865
102.1,45.6,0.124102466,Right Foot,Off T,97.12936528156662,0.057745338150951266
111.1,32.3,0.1629772,Left Foot,Off T,113.11482484625965,0.05018359433732798
