id,match_id,competition_name,season_name,x,y,shot_distance,shot_angle,body_part,side_of_field,is_goal,outcome_name,shot_statsbomb_xg,distance_category,angle_category
4bdafb42-f5b8-48db-bb4c-4543aedec373,3749462,Premier League,2003/2004,93.3,49.4,27.240594707164526,15.21714197259844,Right Foot,right,0,Blocked,0.046314582,Medium,Great
99ddb186-7f5e-4bd1-8923-a5ce2494e998,3749462,Premier League,2003/2004,91.2,43.1,28.799999999999997,15.638760534997228,Right Foot,right,0,Off T,0.042552937,Medium,Great
80f23f3b-4a11-4cb8-bbd4-5de2b0d0a026,3749552,Premier League,2003/2004,80.9,47.6,39.26537915263266,11.263832875069603,Left Foot,right,0,Off T,0.0073766694,Very Far,Good
d2b77182-5338-478c-91fb-7e046c6eeb51,3749296,Premier League,2003/2004,83.1,40.1,36.900000000000006,12.373444752110613,Left Foot,right,0,Off T,0.0071950178,Very Far,Good
69b33a6c-e6cc-4e6e-809d-b20fe90b648c,3749296,Premier League,2003/2004,82.6,30.7,37.77366807711425,11.510398875330118,Right Foot,left,0,Blocked,0.0072516473,Very Far,Good
3c0a4128-2f0b-4d0c-9a29-84729a69297f,3749296,Premier League,2003/2004,110.4,63.1,21.376856644511605,7.178554496926661,Left Foot,right,0,Saved,0.008146202,Close,Fair
336541a1-3b73-40f4-a2ac-67ba5d9f5e8c,3749296,Premier League,2003/2004,94.8,39.6,25.200000000000003,18.034285567129857,Right Foot,left,0,Blocked,0.07359175,Medium,Great
3406f052-d376-45e4-aa6d-ba48b5d5d566,3749454,Premier League,2003/2004,103.0,67.6,29.08539152220578,7.487549934528195,Left Foot,right,0,Blocked,0.00701898,Medium,Fair
b37aea7d-3341-427b-8e2c-60914e923355,3749276,Premier League,2003/2004,86.6,31.9,33.65070578754627,12.915905606604577,Right Foot,left,0,Blocked,0.016066944,Far,Good
46cf28f5-c996-4ca0-804e-abfc0fa283e3,3749068,Premier League,2003/2004,91.0,46.7,29.12541845192958,14.933220949721509,Left Foot,right,0,Off T,0.03595069,Medium,Good
af6151f3-77f5-4cfb-982d-fd422deeaac7,3749068,Premier League,2003/2004,93.6,26.7,27.990176848315915,13.830976152354632,Right Foot,left,0,Saved,0.03882726,Medium,Good
90caee66-b0e8-46e2-ad3c-be0978ab94c7,3749068,Premier League,2003/2004,99.2,25.7,23.210557942453686,14.997307682953089,Right Foot,left,0,Saved,0.04737705,Close,Good
98b18438-38c4-4e15-bf3e-3b4e35864961,3749310,Premier League,2003/2004,88.1,50.2,32.49692293125613,12.997076804708625,Right Foot,right,0,Off T,0.024282841,Far,Good
d66902a9-dd0f-45e0-b5f5-b0f17dd918a2,3749493,Premier League,2003/2004,92.5,11.9,36.565831044842945,8.183261652753298,Right Foot,left,0,Off T,0.005752155,Very Far,Fair
a1741656-7d2f-4645-8248-45c687377743,3749493,Premier League,2003/2004,99.0,47.7,21.323461257497573,19.13163896856118,Right Foot,right,0,Off T,0.08502913,Close,Great
72be089c-0b2e-453f-bee9-0b6ad92d9e7d,3749493,Premier League,2003/2004,101.9,37.9,18.099999999999994,24.61719670162629,Right Foot,left,0,Blocked,0.118119426,Very Close,Great
db4d5760-8168-43f4-93a8-75a31f29ccd9,3749493,Premier League,2003/2004,100.3,37.6,19.700000000000003,22.640857538520123,Right Foot,left,0,Blocked,0.085202426,Very Close,Great
fa8dde0f-e3ef-4307-8e36-0d7c5c30483f,3749493,Premier League,2003/2004,96.7,24.8,25.852079220055007,13.81671980052683,Right Foot,left,0,Post,0.04086888,Medium,Good
e54ba1c9-87ec-4aa7-b624-5d2e15be40c2,3749196,Premier League,2003/2004,94.4,56.7,28.577088725060847,12.573065062736013,Right Foot,right,0,Blocked,0.015037777,Medium,Good
822f013c-ec33-4e47-a534-26732f985a83,3749196,Premier League,2003/2004,101.4,49.3,19.34037228183573,19.662103417096642,Left Foot,right,0,Off T,0.08667207,Very Close,Great
